,City,latitude,longitude
125,Sidi Abdallah Ghiat,,
126,Sidi Bou Othmane,31.903333333333332,-7.942222222222222
127,Sidi Rahhal,31.666666666666668,-7.483333333333333
128,Skhour Rehamna,32.483333333333334,-7.916666666666667
129,Smimou,31.216666666666665,-9.7
130,Tafetachte,31.585277777777776,-9.251944444444444
131,Tahannaout,31.35138888888889,-7.950833333333334
132,Talmest,31.815,-9.340277777777779
133,Tamallalt,31.828888888888887,-7.526111111111111
134,Tamanar,31.0,-9.666666666666666
135,Tamansourt,,
136,Tameslouht,31.5,-8.1
137,Tanalt,29.783333333333335,-9.166666666666666
138,Zeubelemok,,
139,Meknes,33.894999999999996,-5.554722222222222
140,Khenifra,32.93944444444444,-5.6675
141,Agourai,33.63333333333333,-5.583333333333333
142,Ain Taoujdate,33.93333333333333,-5.216666666666667
143,MyAliCherif,,
144,Rissani,31.285833333333336,-4.275
145,Amalou Ighriben,32.93888888888888,-5.649722222222222
146,Aoufous,31.683333333333334,-4.166666666666667
147,Arfoud,31.43611111111111,-4.232777777777778
148,Azrou,33.44166666666666,-5.224722222222223
149,Ain Jemaa,,
150,Ain Karma,,
151,Ain Leuh,,
152,Ait Boubidmane,,
153,Ait Ishaq,32.76,-5.723333333333334
154,Boudnib,31.949722222222224,-3.6077777777777778
155,Boufakrane,33.766666666666666,-5.483333333333333
156,Boumia,,
157,El Hajeb,33.69277777777778,-5.3711111111111105
158,Elkbab,,
159,Er-Rich,32.25833333333333,-4.5055555555555555
160,Errachidia,31.931944444444447,-4.424444444444445
161,Gardmit,,
162,Goulmima,31.694444444444446,-4.9591666666666665
163,Gourrama,32.333333333333336,-4.083333333333333
164,Had Bouhssoussen,33.14861111111111,-6.079722222222222
165,Haj Kaddour,,
166,Ifrane,33.53333333333333,-5.116666666666666
167,Itzer,32.88333333333333,-5.05
168,Jorf,31.490277777777777,-4.4013888888888895
169,Kehf Nsour,32.913888888888884,-5.961666666666667
170,Kerrouchen,32.78333333333333,-5.316666666666666
171,M'haya,,
172,M'rirt,33.163333333333334,-5.566111111111111
173,Midelt,32.68,-4.73
174,Moulay Ali Cherif,,
175,Moulay Bouazza,33.22416666666667,-6.198055555555555
176,Moulay Idriss Zerhoun,34.05416666666667,-5.527222222222222
177,Moussaoua,,
178,N'Zalat Bni Amar,34.09805555555556,-5.416111111111111
179,Ouaoumana,32.71277777777778,-5.804166666666666
180,Oued Ifrane,,
181,Sabaa Aiyoun,33.9,-5.366666666666666
182,Sebt Jahjouh,33.72222222222222,-5.6641666666666675
183,Sidi Addi,31.5,-8.1
184,Tichoute,,
185,Tighassaline,32.78333333333333,-5.65
186,Tighza,33.1875,-5.62388888888889
187,Timahdite,33.23694444444445,-5.06
188,Tinejdad,31.5,-5.016666666666667
189,Tizguite,,
190,Toulal,32.30361111111111,-3.986111111111111
191,Tounfite,32.46666666666667,-5.233333333333333
192,Zaouia d'Ifrane,,
193,Zaida,,
194,Ahfir,34.95138888888889,-2.1025
195,Aklim,34.916666666666664,-2.4333333333333336
196,Al Aroui,,
197,Ain Bni Mathar,,
198,Ain Erreggada,,
199,Ben Taieb,,
200,Berkane,34.916666666666664,-2.3166666666666664
201,Bni Ansar,35.26111111111111,-2.930833333333333
202,Bni Chiker,35.27361111111111,-3.015
203,Bni Drar,34.85777777777778,-1.9927777777777778
204,Bni Tadjite,32.28333333333333,-3.4833333333333334
205,Bouanane,32.027499999999996,-3.04
206,Bouarfa,,
207,Bouhdila,34.93722222222222,-2.346388888888889
208,Dar El Kebdani,35.12027777777778,-3.332222222222222
209,Debdou,33.983333333333334,-3.05
210,Douar Kannine,,
211,Driouch,34.983333333333334,-3.3833333333333333
212,El Aioun Sidi Mellouk,,
213,Farkhana,35.28333333333333,-3.0166666666666666
214,Figuig,32.11666666666667,-1.2269444444444446
215,Ihddaden,35.15,-2.966666666666667
216,Jaadar,,
217,Jerada,34.31166666666666,-2.163611111111111
